# x(μm) n(m^-3) p(m^-3) T_n(K) T_p(K) v_n(m/s) v_p(m/s) P_grad_n P_grad_p heat_n heat_p
6.644295e-01 1.000000e+22 1.000000e+22 3.612214e+02 3.489771e+02 1.967967e+04 -1.475975e+04 -4.820084e-01 -3.856067e-01 -5.236759e+02 -4.189407e+02
6.845638e-01 1.000000e+22 1.000000e+22 3.647056e+02 3.517645e+02 1.981247e+04 -1.485935e+04 -4.797984e-01 -3.838387e-01 -5.212749e+02 -4.170199e+02
7.046980e-01 1.000000e+22 1.000000e+22 3.681717e+02 3.545374e+02 1.991004e+04 -1.493253e+04 -4.769960e-01 -3.815968e-01 -5.182302e+02 -4.145842e+02
7.248322e-01 1.000000e+22 1.000000e+22 3.716154e+02 3.572923e+02 1.997222e+04 -1.497917e+04 -4.736046e-01 -3.788837e-01 -5.145457e+02 -4.116365e+02
7.449664e-01 1.000000e+22 1.000000e+22 3.750323e+02 3.600259e+02 1.999889e+04 -1.499917e+04 -4.696285e-01 -3.757028e-01 -5.102258e+02 -4.081806e+02
7.651007e-01 1.000000e+22 1.000000e+22 3.784184e+02 3.627347e+02 1.999000e+04 -1.499250e+04 -4.650724e-01 -3.720580e-01 -5.052759e+02 -4.042207e+02
7.852349e-01 1.000000e+22 1.000000e+22 3.817693e+02 3.654155e+02 1.994557e+04 -1.495917e+04 -4.599422e-01 -3.679537e-01 -4.997021e+02 -3.997617e+02
8.053691e-01 1.000000e+22 1.000000e+22 3.850811e+02 3.680649e+02 1.986567e+04 -1.489925e+04 -4.542440e-01 -3.633952e-01 -4.935113e+02 -3.948091e+02
8.255034e-01 1.000000e+22 1.000000e+22 3.883495e+02 3.706796e+02 1.975046e+04 -1.481284e+04 -4.479849e-01 -3.583879e-01 -4.867112e+02 -3.893690e+02
8.456376e-01 1.000000e+22 1.000000e+22 3.915706e+02 3.732564e+02 1.960013e+04 -1.470010e+04 -4.411727e-01 -3.529381e-01 -4.793101e+02 -3.834481e+02
8.657718e-01 1.000000e+22 1.000000e+22 3.947403e+02 3.757922e+02 1.941495e+04 -1.456121e+04 -4.338157e-01 -3.470526e-01 -4.713171e+02 -3.770537e+02
8.859060e-01 1.000000e+22 1.000000e+22 3.978548e+02 3.782838e+02 1.919525e+04 -1.439644e+04 -4.259231e-01 -3.407385e-01 -4.627422e+02 -3.701938e+02
9.060403e-01 1.000000e+22 1.000000e+22 4.009102e+02 3.807282e+02 1.894142e+04 -1.420607e+04 -4.175045e-01 -3.340036e-01 -4.535960e+02 -3.628768e+02
9.261745e-01 1.000000e+22 1.000000e+22 4.039027e+02 3.831222e+02 1.865392e+04 -1.399044e+04 -4.085705e-01 -3.268564e-01 -4.438896e+02 -3.551117e+02
9.463087e-01 1.000000e+22 1.000000e+22 4.068287e+02 3.854630e+02 1.833325e+04 -1.374994e+04 -3.991320e-01 -3.193056e-01 -4.336352e+02 -3.469081e+02
9.664430e-01 1.000000e+22 1.000000e+22 4.096845e+02 3.877476e+02 1.797999e+04 -1.348499e+04 -3.892006e-01 -3.113605e-01 -4.228453e+02 -3.382762e+02
9.865772e-01 1.000000e+22 1.000000e+22 4.124667e+02 3.899733e+02 1.759475e+04 -1.319607e+04 -3.787887e-01 -3.030309e-01 -4.115333e+02 -3.292266e+02
1.006711e+00 1.000000e+22 1.000000e+22 4.151716e+02 3.921373e+02 1.717824e+04 -1.288368e+04 -3.679091e-01 -2.943272e-01 -3.997132e+02 -3.197705e+02
1.026846e+00 1.000000e+22 1.000000e+22 4.177962e+02 3.942369e+02 1.673118e+04 -1.254839e+04 -3.565751e-01 -2.852601e-01 -3.873995e+02 -3.099196e+02
1.046980e+00 1.000000e+22 1.000000e+22 4.203370e+02 3.962696e+02 1.625437e+04 -1.219078e+04 -3.448009e-01 -2.758408e-01 -3.746075e+02 -2.996860e+02
1.067114e+00 1.000000e+22 1.000000e+22 4.227909e+02 3.982327e+02 1.574867e+04 -1.181150e+04 -3.326010e-01 -2.660808e-01 -3.613529e+02 -2.890823e+02
1.087248e+00 1.000000e+22 1.000000e+22 4.251550e+02 4.001240e+02 1.521496e+04 -1.141122e+04 -3.199904e-01 -2.559923e-01 -3.476521e+02 -2.781217e+02
1.107383e+00 1.000000e+22 1.000000e+22 4.274263e+02 4.019410e+02 1.465421e+04 -1.099065e+04 -3.069847e-01 -2.455877e-01 -3.335221e+02 -2.668177e+02
1.127517e+00 1.000000e+22 1.000000e+22 4.296020e+02 4.036816e+02 1.406739e+04 -1.055055e+04 -2.935999e-01 -2.348799e-01 -3.189803e+02 -2.551842e+02
1.147651e+00 1.000000e+22 1.000000e+22 4.316794e+02 4.053435e+02 1.345557e+04 -1.009168e+04 -2.798526e-01 -2.238821e-01 -3.040446e+02 -2.432357e+02
1.167785e+00 1.000000e+22 1.000000e+22 4.336559e+02 4.069247e+02 1.281982e+04 -9.614868e+03 -2.657597e-01 -2.126078e-01 -2.887335e+02 -2.309868e+02
1.187919e+00 1.000000e+22 1.000000e+22 4.355291e+02 4.084233e+02 1.216128e+04 -9.120963e+03 -2.513387e-01 -2.010710e-01 -2.730659e+02 -2.184527e+02
1.208054e+00 1.000000e+22 1.000000e+22 4.372968e+02 4.098374e+02 1.148112e+04 -8.610841e+03 -2.366074e-01 -1.892859e-01 -2.570611e+02 -2.056489e+02
1.228188e+00 1.000000e+22 1.000000e+22 4.389566e+02 4.111653e+02 1.078055e+04 -8.085410e+03 -2.215839e-01 -1.772671e-01 -2.407389e+02 -1.925911e+02
1.248322e+00 1.000000e+22 1.000000e+22 4.405066e+02 4.124053e+02 1.006080e+04 -7.545603e+03 -2.062868e-01 -1.650295e-01 -2.241194e+02 -1.792955e+02
1.268456e+00 1.000000e+22 1.000000e+22 4.419449e+02 4.135559e+02 9.323173e+03 -6.992380e+03 -1.907350e-01 -1.525880e-01 -2.072232e+02 -1.657786e+02
1.288591e+00 1.000000e+22 1.000000e+22 4.432696e+02 4.146157e+02 8.568967e+03 -6.426725e+03 -1.749477e-01 -1.399582e-01 -1.900712e+02 -1.520569e+02
1.308725e+00 1.000000e+22 1.000000e+22 4.444792e+02 4.155833e+02 7.799525e+03 -5.849643e+03 -1.589444e-01 -1.271555e-01 -1.726844e+02 -1.381475e+02
1.328859e+00 1.000000e+22 1.000000e+22 4.455721e+02 4.164577e+02 7.016215e+03 -5.262161e+03 -1.427448e-01 -1.141958e-01 -1.550844e+02 -1.240676e+02
1.348993e+00 1.000000e+22 1.000000e+22 4.465470e+02 4.172376e+02 6.220431e+03 -4.665323e+03 -1.263689e-01 -1.010952e-01 -1.372930e+02 -1.098344e+02
1.369128e+00 1.000000e+22 1.000000e+22 4.474026e+02 4.179221e+02 5.413588e+03 -4.060191e+03 -1.098371e-01 -8.786965e-02 -1.193320e+02 -9.546559e+01
1.389262e+00 1.000000e+22 1.000000e+22 4.481381e+02 4.185104e+02 4.597119e+03 -3.447839e+03 -9.316956e-02 -7.453565e-02 -1.012237e+02 -8.097893e+01
1.409396e+00 1.000000e+22 1.000000e+22 4.487523e+02 4.190018e+02 3.772477e+03 -2.829357e+03 -7.638702e-02 -6.110962e-02 -8.299034e+01 -6.639228e+01
1.429530e+00 1.000000e+22 1.000000e+22 4.492446e+02 4.193957e+02 2.941127e+03 -2.205845e+03 -5.951016e-02 -4.760813e-02 -6.465455e+01 -5.172364e+01
1.449664e+00 1.000000e+22 1.000000e+22 4.496143e+02 4.196915e+02 2.104548e+03 -1.578411e+03 -4.255982e-02 -3.404786e-02 -4.623893e+01 -3.699115e+01
1.469799e+00 1.000000e+22 1.000000e+22 4.498611e+02 4.198889e+02 1.264227e+03 -9.481706e+02 -2.555693e-02 -2.044555e-02 -2.776622e+01 -2.221297e+01
1.489933e+00 1.000000e+22 1.000000e+22 4.499846e+02 4.199877e+02 4.216590e+02 -3.162443e+02 -8.522485e-03 -6.817988e-03 -9.259216e+00 -7.407373e+00
1.510067e+00 1.000000e+22 1.000000e+22 4.499846e+02 4.199877e+02 -4.216590e+02 3.162443e+02 8.522485e-03 6.817988e-03 9.259216e+00 7.407373e+00
1.530201e+00 1.000000e+22 1.000000e+22 4.498611e+02 4.198889e+02 -1.264227e+03 9.481706e+02 2.555693e-02 2.044555e-02 2.776622e+01 2.221297e+01
1.550336e+00 1.000000e+22 1.000000e+22 4.496143e+02 4.196915e+02 -2.104548e+03 1.578411e+03 4.255982e-02 3.404786e-02 4.623893e+01 3.699115e+01
1.570470e+00 1.000000e+22 1.000000e+22 4.492446e+02 4.193957e+02 -2.941127e+03 2.205845e+03 5.951016e-02 4.760813e-02 6.465455e+01 5.172364e+01
1.590604e+00 1.000000e+22 1.000000e+22 4.487523e+02 4.190018e+02 -3.772477e+03 2.829357e+03 7.638702e-02 6.110962e-02 8.299034e+01 6.639228e+01
1.610738e+00 1.000000e+22 1.000000e+22 4.481381e+02 4.185104e+02 -4.597119e+03 3.447839e+03 9.316956e-02 7.453565e-02 1.012237e+02 8.097893e+01
1.630872e+00 1.000000e+22 1.000000e+22 4.474026e+02 4.179221e+02 -5.413588e+03 4.060191e+03 1.098371e-01 8.786965e-02 1.193320e+02 9.546559e+01
1.651007e+00 1.000000e+22 1.000000e+22 4.465470e+02 4.172376e+02 -6.220431e+03 4.665323e+03 1.263689e-01 1.010952e-01 1.372930e+02 1.098344e+02
1.671141e+00 1.000000e+22 1.000000e+22 4.455721e+02 4.164577e+02 -7.016215e+03 5.262161e+03 1.427448e-01 1.141958e-01 1.550844e+02 1.240676e+02
1.691275e+00 1.000000e+22 1.000000e+22 4.444792e+02 4.155833e+02 -7.799525e+03 5.849643e+03 1.589444e-01 1.271555e-01 1.726844e+02 1.381475e+02
1.711409e+00 1.000000e+22 1.000000e+22 4.432696e+02 4.146157e+02 -8.568967e+03 6.426725e+03 1.749477e-01 1.399582e-01 1.900712e+02 1.520569e+02
1.731544e+00 1.000000e+22 1.000000e+22 4.419449e+02 4.135559e+02 -9.323173e+03 6.992380e+03 1.907350e-01 1.525880e-01 2.072232e+02 1.657786e+02
1.751678e+00 1.000000e+22 1.000000e+22 4.405066e+02 4.124053e+02 -1.006080e+04 7.545603e+03 2.062868e-01 1.650295e-01 2.241194e+02 1.792955e+02
1.771812e+00 1.000000e+22 1.000000e+22 4.389566e+02 4.111653e+02 -1.078055e+04 8.085410e+03 2.215839e-01 1.772671e-01 2.407389e+02 1.925911e+02
1.791946e+00 1.000000e+22 1.000000e+22 4.372968e+02 4.098374e+02 -1.148112e+04 8.610841e+03 2.366074e-01 1.892859e-01 2.570611e+02 2.056489e+02
1.812081e+00 1.000000e+22 1.000000e+22 4.355291e+02 4.084233e+02 -1.216128e+04 9.120963e+03 2.513387e-01 2.010710e-01 2.730659e+02 2.184527e+02
1.832215e+00 1.000000e+22 1.000000e+22 4.336559e+02 4.069247e+02 -1.281982e+04 9.614868e+03 2.657597e-01 2.126078e-01 2.887335e+02 2.309868e+02
1.852349e+00 1.000000e+22 1.000000e+22 4.316794e+02 4.053435e+02 -1.345557e+04 1.009168e+04 2.798526e-01 2.238821e-01 3.040446e+02 2.432357e+02
1.872483e+00 1.000000e+22 1.000000e+22 4.296020e+02 4.036816e+02 -1.406739e+04 1.055055e+04 2.935999e-01 2.348799e-01 3.189803e+02 2.551842e+02
1.892617e+00 1.000000e+22 1.000000e+22 4.274263e+02 4.019410e+02 -1.465421e+04 1.099065e+04 3.069847e-01 2.455877e-01 3.335221e+02 2.668177e+02
1.912752e+00 1.000000e+22 1.000000e+22 4.251550e+02 4.001240e+02 -1.521496e+04 1.141122e+04 3.199904e-01 2.559923e-01 3.476521e+02 2.781217e+02
1.932886e+00 1.000000e+22 1.000000e+22 4.227909e+02 3.982327e+02 -1.574867e+04 1.181150e+04 3.326010e-01 2.660808e-01 3.613529e+02 2.890823e+02
1.953020e+00 1.000000e+22 1.000000e+22 4.203370e+02 3.962696e+02 -1.625437e+04 1.219078e+04 3.448009e-01 2.758408e-01 3.746075e+02 2.996860e+02
1.973154e+00 1.000000e+22 1.000000e+22 4.177962e+02 3.942369e+02 -1.673118e+04 1.254839e+04 3.565751e-01 2.852601e-01 3.873995e+02 3.099196e+02
1.993289e+00 1.000000e+22 1.000000e+22 4.151716e+02 3.921373e+02 -1.717824e+04 1.288368e+04 3.679091e-01 2.943272e-01 3.997132e+02 3.197705e+02
2.013423e+00 1.000000e+22 1.000000e+22 4.124667e+02 3.899733e+02 -1.759475e+04 1.319607e+04 3.787887e-01 3.030309e-01 4.115333e+02 3.292266e+02
2.033557e+00 1.000000e+22 1.000000e+22 4.096845e+02 3.877476e+02 -1.797999e+04 1.348499e+04 3.892006e-01 3.113605e-01 4.228453e+02 3.382762e+02
2.053691e+00 1.000000e+22 1.000000e+22 4.068287e+02 3.854630e+02 -1.833325e+04 1.374994e+04 3.991320e-01 3.193056e-01 4.336352e+02 3.469081e+02
2.073826e+00 1.000000e+22 1.000000e+22 4.039027e+02 3.831222e+02 -1.865392e+04 1.399044e+04 4.085705e-01 3.268564e-01 4.438896e+02 3.551117e+02
2.093960e+00 1.000000e+22 1.000000e+22 4.009102e+02 3.807282e+02 -1.894142e+04 1.420607e+04 4.175045e-01 3.340036e-01 4.535960e+02 3.628768e+02
2.114094e+00 1.000000e+22 1.000000e+22 3.978548e+02 3.782838e+02 -1.919525e+04 1.439644e+04 4.259231e-01 3.407385e-01 4.627422e+02 3.701938e+02
2.134228e+00 1.000000e+22 1.000000e+22 3.947403e+02 3.757922e+02 -1.941495e+04 1.456121e+04 4.338157e-01 3.470526e-01 4.713171e+02 3.770537e+02
2.154362e+00 1.000000e+22 1.000000e+22 3.915706e+02 3.732564e+02 -1.960013e+04 1.470010e+04 4.411727e-01 3.529381e-01 4.793101e+02 3.834481e+02
2.174497e+00 1.000000e+22 1.000000e+22 3.883495e+02 3.706796e+02 -1.975046e+04 1.481284e+04 4.479849e-01 3.583879e-01 4.867112e+02 3.893690e+02
2.194631e+00 1.000000e+22 1.000000e+22 3.850811e+02 3.680649e+02 -1.986567e+04 1.489925e+04 4.542440e-01 3.633952e-01 4.935113e+02 3.948091e+02
2.214765e+00 1.000000e+22 1.000000e+22 3.817693e+02 3.654155e+02 -1.994557e+04 1.495917e+04 4.599422e-01 3.679537e-01 4.997021e+02 3.997617e+02
